Name,University,Major,Graduation Year,Skills,Achievements,Experience,Email ID
Jamie Miller,University of Illinois Urbana-Champaign,Cybersecurity,2026,"NLP, Cloud Computing, Kubernetes, AWS, TensorFlow",Robotics Competition Winner,Software Engineering Intern at Google,jamiemillerFFJXJ@gmail.com
Morgan Anderson,University of Texas at Austin,Bioinformatics,2027,"TensorFlow, C++, SQL, PyTorch",Dean's List,"Software Engineering Intern at Google, Cloud Engineer Intern at IBM",morganandersonULKCM@gmail.com
Jamie Garcia,University of Washington,Information Systems,2025,"Blockchain, AWS, Deep Learning, Computer Vision, Machine Learning, PyTorch, Java","Patent Holder, Open Source Contributor, Hackathon Winner","Startup Co-Founder (Tech Product), Data Science Intern at Amazon",jamiegarciaCRSYD@gmail.com
Avery Martinez,UCLA,Computer Science,2029,"Machine Learning, Cloud Computing, TensorFlow, PyTorch, React, Data Analysis, MATLAB","Open Source Contributor, Scholarship Recipient, Robotics Competition Winner",Research Assistant in AI Lab,averymartinezTEZFZ@gmail.com
Jordan Anderson,UCLA,Electrical Engineering,2025,"Computer Vision, PyTorch, Machine Learning, Deep Learning, AWS, Docker",Internship at FAANG,Research Assistant in AI Lab,jordanandersonLSHAN@gmail.com
Riley Miller,UC Berkeley,Artificial Intelligence,2028,"React, Java, Machine Learning, TensorFlow","Scholarship Recipient, Internship at FAANG",Cybersecurity Intern at Microsoft,rileymillerUWNGK@gmail.com
Casey Garcia,Purdue University,Mechanical Engineering,2025,"TensorFlow, Node.js, NLP, Python, AWS","Open Source Contributor, Scholarship Recipient, Startup Founder","Teaching Assistant for CS courses, Startup Co-Founder (Tech Product)",caseygarciaHDOGU@gmail.com
Cameron Williams,Stanford University,Mechanical Engineering,2026,"PyTorch, Kubernetes, Blockchain, Machine Learning","Scholarship Recipient, Conference Speaker, Robotics Competition Winner",Teaching Assistant for CS courses,cameronwilliamsNQPYZ@gmail.com
Cameron Lee,University of Washington,Data Science,2025,"PyTorch, Blockchain, SQL, MATLAB, Kubernetes, Computer Vision","Dean's List, Robotics Competition Winner, Published Research Paper",Cloud Engineer Intern at IBM,cameronleeGNTUQ@gmail.com
Alex Johnson,Georgia Tech,Robotics,2029,"Docker, MATLAB, Python, Cybersecurity, Node.js, Cloud Computing","Scholarship Recipient, Dean's List, Patent Holder","Cloud Engineer Intern at IBM, Data Science Intern at Amazon",alexjohnsonNEAUY@gmail.com
Jamie Davis,Carnegie Mellon University,Artificial Intelligence,2030,"MATLAB, React, SQL, Machine Learning, C++, Cybersecurity, Java","Scholarship Recipient, Published Research Paper, Hackathon Winner",Cybersecurity Intern at Microsoft,jamiedavisKRZJS@gmail.com
