Name,University,Major,Graduation Year,Skills,Achievements,Experience,Email ID
Cameron Johnson,MIT,Software Engineering,2025,"Docker, Cloud Computing, Linux, Docker Swarm, JavaScript, SQL, PyTorch","Conference Speaker, Patent Holder, Innovation Grant Recipient","AI Research Intern at OpenAI, Robotics Research Intern",cameronjohnsonZGPFL@gmail.comEmail ID
Jamie Thomas,UCLA,Bioinformatics,2029,"Docker Swarm, Deep Learning, React, JavaScript, NLP, Linux",Dean's List,Teaching Assistant for CS courses,jamiethomasWIJZH@gmail.comEmail ID
Hayden Brown,Harvard University,Artificial Intelligence,2027,"HTML, MATLAB, Python, Rust, Java, Linux, CSS","Best Thesis Award, Patent Holder",AI Research Intern at OpenAI,haydenbrownSIZBF@gmail.comEmail ID
Quinn Miller,UCLA,Bioinformatics,2029,"HTML, JavaScript, TensorFlow, Docker Swarm, Docker, Scala","Startup Founder, Open Source Contributor, Published Research Paper","Teaching Assistant for CS courses, Full Stack Intern at Shopify",quinnmillerWOYTU@gmail.comEmail ID
Morgan Johnson,Harvard University,Cybersecurity,2026,"Linux, Cybersecurity, Kubernetes, Cloud Computing, Docker, JavaScript",Tech Blog Contributor,Software Developer Intern at Adobe,morganjohnsonDNVVU@gmail.comEmail ID
Casey Smith,Harvard University,Information Systems,2028,"C++, TensorFlow, SQL, Blockchain","Published Research Paper, Innovation Grant Recipient",Intern at SpaceX,caseysmithZTSNG@gmail.comEmail ID
Peyton Walker,Georgia Tech,Mechanical Engineering,2025,"Cloud Computing, CSS, Data Analysis, Rust","Best Thesis Award, Open Source Contributor","Startup Co-Founder (Tech Product), Teaching Assistant for CS courses",peytonwalkerUCMBC@gmail.comEmail ID
Cameron Johnson,University of Texas at Austin,Computer Science,2027,"Docker, Node.js, TensorFlow, Java, HTML","Patent Holder, Internship at FAANG","Intern at Tesla (Autopilot team), Teaching Assistant for CS courses",cameronjohnsonWPBHP@gmail.comEmail ID
Alex Martinez,University of Illinois Urbana-Champaign,Electrical Engineering,2027,"Java, Cybersecurity, Deep Learning, Blockchain, CSS","Hackathon Winner, Dean's List","Machine Learning Intern at Meta, Full Stack Intern at Shopify",alexmartinezJWABC@gmail.comEmail ID
Drew Johnson,Georgia Tech,Software Engineering,2025,"Linux, GraphQL, Machine Learning, Cloud Computing","Patent Holder, Internship at FAANG","Intern at SpaceX, Software Developer Intern at Adobe",drewjohnsonZLUPT@gmail.comEmail ID
Cameron Smith,UC Berkeley,Computer Science,2025,"Node.js, Blockchain, SQL, TensorFlow",Innovation Grant Recipient,"Startup Co-Founder (Tech Product), Cloud Engineer Intern at Salesforce",cameronsmithJKLFB@gmail.comEmail ID
Drew Moore,University of Washington,Data Science,2025,"SQL, C++, Deep Learning, MATLAB","Internship at FAANG, Startup Founder, Open Source Contributor","Intern at Tesla (Autopilot team), Software Developer Intern at Adobe",drewmooreLCIRM@gmail.comEmail ID
Casey Lee,Stanford University,Cybersecurity,2029,"Docker Swarm, NLP, CSS, GraphQL, Go, MATLAB, Cybersecurity","Patent Holder, Coding Competition Winner, Conference Speaker","Intern at SpaceX, Cybersecurity Intern at Microsoft",caseyleeFFKFN@gmail.comEmail ID
Sam Lewis,Caltech,Software Engineering,2027,"Cybersecurity, AWS, Data Analysis, Java, MATLAB",Best Thesis Award,Teaching Assistant for CS courses,samlewisWSSML@gmail.comEmail ID
Peyton Lewis,University of Illinois Urbana-Champaign,Computer Science,2027,"Data Analysis, Go, Node.js, Cloud Computing, Docker Swarm, Python, Cybersecurity","Robotics Competition Winner, Patent Holder, Tech Blog Contributor",Data Science Intern at Amazon,peytonlewisPIHLX@gmail.comEmail ID
Hayden Jackson,Purdue University,Software Engineering,2030,"Computer Vision, SQL, Machine Learning, Java, React",Startup Founder,"Cybersecurity Intern at Microsoft, Robotics Research Intern",haydenjacksonMREAA@gmail.comEmail ID
Hayden Moore,UCLA,Artificial Intelligence,2029,"Java, Scala, Computer Vision, Data Analysis","Coding Competition Winner, Internship at FAANG, Conference Speaker","Teaching Assistant for CS courses, Software Engineering Intern at Google",haydenmooreFNQYZ@gmail.comEmail ID
Charlie Lee,University of Texas at Austin,Software Engineering,2028,"Machine Learning, Python, JavaScript, MATLAB, TensorFlow, SQL, GraphQL","Hackathon Winner, Tech Blog Contributor, Robotics Competition Winner","Research Assistant in AI Lab, Cybersecurity Intern at Microsoft",charlieleeDDZCI@gmail.comEmail ID
Casey Williams,MIT,Mechanical Engineering,2027,"Kubernetes, Docker Swarm, GraphQL, Linux, Machine Learning, Rust",Patent Holder,"Data Analyst Intern at Oracle, Software Developer Intern at Adobe",caseywilliamsYZUQW@gmail.comEmail ID
Charlie Smith,Princeton University,Robotics,2025,"Cybersecurity, Python, Ansible, Docker Swarm, Java, JavaScript, SQL","Tech Blog Contributor, Scholarship Recipient",Robotics Research Intern,charliesmithXNSJX@gmail.comEmail ID
Casey Harris,Carnegie Mellon University,Bioinformatics,2030,"Rust, Cybersecurity, Go, Computer Vision, MATLAB, TensorFlow, CSS","Winner of AI Challenge, Open Source Contributor, Startup Founder","Research Assistant in AI Lab, Machine Learning Intern at Meta",caseyharrisCTNOY@gmail.comEmail ID
Avery Brown,Caltech,Software Engineering,2027,"Data Analysis, Linux, Cloud Computing, TensorFlow",Scholarship Recipient,Software Engineering Intern at Google,averybrownPPCGP@gmail.comEmail ID
Sam Clark,University of Michigan,Mechanical Engineering,2026,"Scala, Ansible, MATLAB, Linux, Kubernetes",Tech Blog Contributor,Research Assistant in AI Lab,samclarkTZGED@gmail.comEmail ID
Jamie Jackson,University of Washington,Information Systems,2030,"Ansible, TensorFlow, PyTorch, GraphQL","Scholarship Recipient, Winner of AI Challenge, Patent Holder",Robotics Research Intern,jamiejacksonNGJDO@gmail.comEmail ID
Kendall White,Cornell University,Artificial Intelligence,2029,"Scala, AWS, Python, TensorFlow, HTML","Innovation Grant Recipient, Robotics Competition Winner",Robotics Research Intern,kendallwhiteTEEEM@gmail.comEmail ID
Kendall Martinez,Stanford University,Electrical Engineering,2028,"Cloud Computing, Go, CSS, PyTorch, Blockchain, TensorFlow","Winner of AI Challenge, Tech Blog Contributor, Dean's List",Cybersecurity Intern at Microsoft,kendallmartinezEBOFQ@gmail.comEmail ID
Drew Lewis,University of Washington,Electrical Engineering,2030,"Docker Swarm, C++, SQL, Computer Vision","Conference Speaker, Dean's List","Cybersecurity Intern at Microsoft, Research Assistant in AI Lab",drewlewisOAJPT@gmail.comEmail ID
Skyler Hall,Caltech,Software Engineering,2027,"HTML, MATLAB, Data Analysis, NLP, Computer Vision","Open Source Contributor, Hackathon Winner","Cybersecurity Intern at Microsoft, Intern at Tesla (Autopilot team)",skylerhallDAEXV@gmail.comEmail ID
Casey Clark,Stanford University,Cybersecurity,2026,"C++, Scala, Docker Swarm, Node.js, PyTorch, CSS, JavaScript","Tech Blog Contributor, Dean's List",AI Research Intern at OpenAI,caseyclarkCFFUJ@gmail.comEmail ID
Riley Anderson,Carnegie Mellon University,Mechanical Engineering,2027,"AWS, Blockchain, CSS, Scala, Machine Learning, NLP, PyTorch",Hackathon Finalist,"Cloud Engineer Intern at Salesforce, Cloud Engineer Intern at IBM",rileyandersonIAHPG@gmail.comEmail ID
Casey Williams,Cornell University,Information Systems,2029,"SQL, Docker, JavaScript, Deep Learning, TensorFlow",Open Source Contributor,"Software Developer Intern at Adobe, Cloud Engineer Intern at Salesforce",caseywilliamsCCTLZ@gmail.comEmail ID
Jordan Hall,Caltech,Electrical Engineering,2028,"TensorFlow, MATLAB, JavaScript, Go, GraphQL, NLP, HTML","Innovation Grant Recipient, Hackathon Finalist, Internship at FAANG",Cloud Engineer Intern at IBM,jordanhallKPINH@gmail.comEmail ID
Alex Davis,University of Texas at Austin,Bioinformatics,2027,"Java, Deep Learning, Docker, Blockchain, Ansible, Docker Swarm, Linux",Startup Founder,Data Analyst Intern at Oracle,alexdavisYDGMW@gmail.comEmail ID
Quinn Anderson,UC Berkeley,Mechanical Engineering,2027,"Data Analysis, Rust, NLP, Python, Blockchain, Java",Open Source Contributor,Full Stack Intern at Shopify,quinnandersonEJIID@gmail.comEmail ID
Kendall Taylor,Caltech,Bioinformatics,2025,"Ansible, Linux, Data Analysis, PyTorch, MATLAB",Conference Speaker,"Teaching Assistant for CS courses, AI Research Intern at OpenAI",kendalltaylorTVKLC@gmail.comEmail ID
Drew Davis,Cornell University,Data Science,2026,"Machine Learning, Docker Swarm, JavaScript, Java","Robotics Competition Winner, Scholarship Recipient",Research Assistant in AI Lab,drewdavisEIWJG@gmail.comEmail ID
Sam Thomas,University of Washington,Artificial Intelligence,2030,"TensorFlow, Docker, Computer Vision, Rust, Cloud Computing, GraphQL, C++","Tech Blog Contributor, Hackathon Winner",Full Stack Intern at Shopify,samthomasVSCSR@gmail.comEmail ID
Sam Garcia,UC Berkeley,Software Engineering,2027,"Java, Rust, Deep Learning, Cybersecurity, Kubernetes","Internship at FAANG, Published Research Paper, Scholarship Recipient",Startup Co-Founder (Tech Product),samgarciaINXCS@gmail.comEmail ID
Drew Taylor,University of Illinois Urbana-Champaign,Robotics,2027,"Blockchain, PyTorch, Java, Deep Learning, Rust","Robotics Competition Winner, Best Thesis Award, Patent Holder","Cloud Engineer Intern at IBM, Cloud Engineer Intern at Salesforce",drewtaylorFCPAP@gmail.comEmail ID
Casey Jackson,Stanford University,Data Science,2027,"Blockchain, C++, Node.js, TensorFlow, Docker Swarm","Published Research Paper, Hackathon Finalist, Tech Blog Contributor",Intern at SpaceX,caseyjacksonMBVKF@gmail.comEmail ID
Riley Anderson,Caltech,Mechanical Engineering,2027,"Scala, Java, NLP, Node.js, MATLAB, Cloud Computing, GraphQL",Coding Competition Winner,Software Engineering Intern at Google,rileyandersonZJVQC@gmail.comEmail ID
Taylor Hall,University of Michigan,Software Engineering,2029,"Data Analysis, SQL, Docker Swarm, Java, Python, JavaScript, Ansible","Winner of AI Challenge, Coding Competition Winner, Open Source Contributor",Cloud Engineer Intern at Salesforce,taylorhallIARQY@gmail.comEmail ID
Hayden Moore,Cornell University,Electrical Engineering,2026,"AWS, Blockchain, Scala, NLP, Computer Vision","Startup Founder, Scholarship Recipient, Conference Speaker","Cloud Engineer Intern at IBM, Data Analyst Intern at Oracle",haydenmooreCLBAI@gmail.comEmail ID
Casey Harris,Caltech,Cybersecurity,2025,"JavaScript, Deep Learning, Ansible, TensorFlow, GraphQL, Blockchain, Rust",Winner of AI Challenge,Full Stack Intern at Shopify,caseyharrisSBOSJ@gmail.comEmail ID
Alex Martinez,Purdue University,Electrical Engineering,2030,"Node.js, NLP, CSS, Ansible, SQL, Rust, Computer Vision",Best Thesis Award,Robotics Research Intern,alexmartinezJJSYF@gmail.comEmail ID
Peyton Brown,Purdue University,Computer Science,2027,"Ansible, Python, C++, TensorFlow","Hackathon Winner, Tech Blog Contributor",AI Research Intern at OpenAI,peytonbrownYKXPS@gmail.comEmail ID
Kendall Hall,Princeton University,Mechanical Engineering,2025,"Data Analysis, Cloud Computing, PyTorch, Node.js",Scholarship Recipient,"Cloud Engineer Intern at Salesforce, Teaching Assistant for CS courses",kendallhallDQZBL@gmail.comEmail ID
Avery Davis,University of Washington,Electrical Engineering,2025,"MATLAB, Deep Learning, AWS, PyTorch, Python","Innovation Grant Recipient, Dean's List","Startup Co-Founder (Tech Product), AI Research Intern at OpenAI",averydavisXGLLT@gmail.comEmail ID
Sam Jackson,Purdue University,Software Engineering,2028,"Linux, TensorFlow, JavaScript, MATLAB","Internship at FAANG, Best Thesis Award",Cloud Engineer Intern at Salesforce,samjacksonOKGXF@gmail.comEmail ID
Skyler Anderson,UC Berkeley,Bioinformatics,2030,"Kubernetes, Machine Learning, Scala, Data Analysis, Cybersecurity, Go",Patent Holder,"Software Developer Intern at Adobe, Teaching Assistant for CS courses",skylerandersonETDAH@gmail.comEmail ID
Avery Lee,University of Washington,Electrical Engineering,2029,"MATLAB, Ansible, C++, CSS, SQL, Rust","Hackathon Finalist, Coding Competition Winner","Cybersecurity Intern at Microsoft, Data Analyst Intern at Oracle",averyleeXEXTD@gmail.comEmail ID
Taylor Harris,Stanford University,Information Systems,2028,"React, PyTorch, SQL, Go","Patent Holder, Internship at FAANG, Conference Speaker","Cybersecurity Intern at Microsoft, Machine Learning Intern at Meta",taylorharrisAZARY@gmail.comEmail ID
Kendall Taylor,University of Texas at Austin,Bioinformatics,2030,"Ansible, Docker Swarm, Machine Learning, Computer Vision, Cloud Computing","Coding Competition Winner, Robotics Competition Winner",Startup Co-Founder (Tech Product),kendalltaylorFHISE@gmail.comEmail ID
Peyton Thomas,Stanford University,Electrical Engineering,2025,"TensorFlow, Python, Kubernetes, HTML, NLP, CSS","Open Source Contributor, Hackathon Finalist","Full Stack Intern at Shopify, Machine Learning Intern at Meta",peytonthomasWBDIB@gmail.comEmail ID
Hayden Martinez,Georgia Tech,Software Engineering,2030,"GraphQL, Computer Vision, NLP, Scala",Coding Competition Winner,Cloud Engineer Intern at IBM,haydenmartinezOMPQS@gmail.comEmail ID
Casey Harris,Princeton University,Information Systems,2026,"TensorFlow, Linux, Rust, Node.js",Patent Holder,"Intern at Tesla (Autopilot team), Data Analyst Intern at Oracle",caseyharrisNIJOA@gmail.comEmail ID
Quinn Thomas,Stanford University,Cybersecurity,2028,"Cloud Computing, Computer Vision, Node.js, CSS, React, Kubernetes","Conference Speaker, Hackathon Winner, Patent Holder",Teaching Assistant for CS courses,quinnthomasZNJVO@gmail.comEmail ID
